Unnamed: 0,Unnamed: 1,Input,Change,Gain,Loss,Avg Gain,Avg Loss,HM,14-day HMA,D,E,F,G,H,I,J
,1,44.3389,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2,44.0902,-0.24869999999999948,0.0,0.24869999999999948,,,,,-0.24869999999999948,0.0,0.24869999999999948,0.0,0.12434999999999974,0.0,0.0
,3,44.1497,0.059499999999999886,0.059499999999999886,0.0,,,,,0.059499999999999886,0.059499999999999886,0.0,0.019833333333333297,0.08289999999999982,0.23924406915963015,19.305645684620387
,4,43.6124,-0.5373000000000019,0.0,0.5373000000000019,,,,,-0.5373000000000019,0.0,0.5373000000000019,0.014874999999999972,0.19650000000000034,0.07569974554707351,7.037256061502049
,5,44.3278,0.7154000000000025,0.7154000000000025,0.0,,,,,0.7154000000000025,0.7154000000000025,0.0,0.15498000000000048,0.15720000000000028,0.9858778625954211,49.64443590236406
,6,44.8264,0.49859999999999616,0.49859999999999616,0.0,,,,,0.49859999999999616,0.49859999999999616,0.0,0.21224999999999974,0.13100000000000023,1.620229007633583,61.83539694100502
,7,45.0955,0.26910000000000167,0.26910000000000167,0.0,,,,,0.26910000000000167,0.26910000000000167,0.0,0.2203714285714286,0.11228571428571447,1.9625954198473252,66.24581293481057
,8,45.4245,0.3290000000000006,0.3290000000000006,0.0,,,,,0.3290000000000006,0.3290000000000006,0.0,0.2339500000000001,0.09825000000000017,2.3811704834605565,70.42444310656228
,9,45.8433,0.4187999999999974,0.4187999999999974,0.0,,,,,0.4187999999999974,0.4187999999999974,0.0,0.2544888888888887,0.08733333333333348,2.9139949109414687,74.45065661162393
,10,46.0826,0.23930000000000007,0.23930000000000007,0.0,,,,,0.23930000000000007,0.23930000000000007,0.0,0.2529699999999998,0.07860000000000014,3.218447837150119,76.29459842567175
,11,45.8931,-0.18950000000000244,0.0,0.18950000000000244,,,,,-0.18950000000000244,0.0,0.18950000000000244,0.2299727272727271,0.08868181818181853,2.593234238851859,72.16991897751902
,12,46.0328,0.13970000000000482,0.13970000000000482,0.0,,,,,0.13970000000000482,0.13970000000000482,0.0,0.22245000000000026,0.08129166666666698,2.7364428498205973,73.23657713517512
,13,45.614,-0.4188000000000045,0.0,0.4188000000000045,,,,,-0.4188000000000045,0.0,0.4188000000000045,0.20533846153846178,0.1072538461538468,1.9145090726529348,65.68890420060525
,14,46.282,0.6679999999999993,0.6679999999999993,0.0,,,HM,HMA,0.6679999999999993,0.6679999999999993,0.0,0.23838571428571445,0.09959285714285773,2.393602524564285,70.53278948369497
,15,46.282,0.0,0.0,0.0,0.23838571428571445,0.09959285714285773,2.393602524564285,70.53278948369497,0.0,0.0,-0.0,0.22135816326530627,0.09247908163265361,2.393602524564285,70.53278948369497
,16,46.0028,-0.2791999999999959,0.0,0.2791999999999959,0.22135816326530627,0.11242193877551046,1.9689943588975538,66.31856180517232,-0.2791999999999959,0.0,0.2791999999999959,0.20554686588921298,0.10581629008746377,1.9424879261909076,66.01515366982272
,17,46.0328,0.030000000000001137,0.030000000000001137,0.0,0.2076897230320702,0.10439180029154542,1.9895214226791218,66.54982993552764,0.030000000000001137,0.030000000000001137,0.0,0.19300780403998358,0.09825798365264493,1.9642964048834128,66.26518190446173
,18,46.4116,0.37879999999999825,0.37879999999999825,0.0,0.2199118856726365,0.0969352431278636,2.2686473833109293,69.40630533884433,0.37879999999999825,0.37879999999999825,0.0,0.2062786751799846,0.09123955624888458,2.260846979760562,69.33312092818817
,19,46.2222,-0.18939999999999912,0.0,0.18939999999999912,0.20420389383887677,0.10353986861873042,1.972224772573607,66.3551690562718,-0.18939999999999912,0.0,0.18939999999999912,0.1915444840957,0.09825101651682133,1.9495420086865574,66.09643134239326
,20,45.6439,-0.5782999999999987,0.0,0.5782999999999987,0.18961790142181414,0.1374513065745353,1.3795278207776849,57.97485571430819,-0.5782999999999987,0.0,0.5782999999999987,0.1778627352317214,0.13254022962276257,1.3419528224596882,57.3005916084284
,21,46.2122,0.5683000000000007,0.5683000000000007,0.0,0.21666662274882748,0.12763335610492563,1.697570520442233,62.929606754597,0.5683000000000007,0.5683000000000007,0.0,0.20575111128659848,0.12307307036399383,1.6717801114255202,62.5717701945744
,22,46.2521,0.03989999999999583,0.03989999999999583,0.0,0.20404043540962521,0.11851668781171665,1.7216177668901547,63.25714756254528,0.03989999999999583,0.03989999999999583,0.0,0.1939046033375554,0.1142821367665657,1.696718392075812,62.91789298658488
